,uuid,url,filename,folder,building
37,7b720143-6625-4322-88cc-c85e26a855ef,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-23.jpg,612-M-23,AA270900,00-35.112
38,cf4db5e2-66ad-47e5-a78f-474f0473c606,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-24.jpg,612-M-24,AA270900,00-35.112
39,4cf79796-9ff2-41d0-958f-13f79dc922bc,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-25.jpg,612-M-25,AA270900,00-35.112
40,13ede2b6-1b8a-44ad-9a5c-178914de33d9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-26.jpg,612-M-26,AA270900,00-35.112
41,12e3dd77-f495-4346-b51c-771cd613bb6b,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270900/612-M-27.jpg,612-M-27,AA270900,00-35.112
42,173118b7-28ac-4e6b-a334-3eee4402d1bf,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(1).jpg,GEEN TEKENINGNUMMER(1),AA270915,TR
43,87d0cb8d-6382-463e-9eb5-dff6c81a1609,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(2).jpg,GEEN TEKENINGNUMMER(2),AA270915,TR
44,11c82c4e-5b59-4386-a2b3-450770b362f0,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(3).jpg,GEEN TEKENINGNUMMER(3),AA270915,TR
45,4db00257-4c20-4599-b7c7-7a60d2618630,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(4).jpg,GEEN TEKENINGNUMMER(4),AA270915,TR
46,232417bc-3cc4-45a3-b98d-b3a9e914b70e,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(5).jpg,GEEN TEKENINGNUMMER(5),AA270915,TR
47,a7863f99-86a2-4a3f-b820-c4836787bfc4,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(6).jpg,GEEN TEKENINGNUMMER(6),AA270915,TR
48,8eaca068-2c5b-4567-b563-c2895575ca20,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(7).jpg,GEEN TEKENINGNUMMER(7),AA270915,TR
49,954c9f06-ea03-414a-9186-34b753c4fa63,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(8).jpg,GEEN TEKENINGNUMMER(8),AA270915,TR
50,bb1b32d2-d3b8-41f9-bd81-6ebe846eef4a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(9).jpg,GEEN TEKENINGNUMMER(9),AA270915,TR
51,f3bc282a-ba24-441e-8666-55839684a7e1,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(10).jpg,GEEN TEKENINGNUMMER(10),AA270915,TR
52,9791bd00-4924-424f-a8f6-526c7bad79ae,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(11).jpg,GEEN TEKENINGNUMMER(11),AA270915,TR
53,ff84e67e-fde5-45cf-9761-db4e92f202e7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(12).jpg,GEEN TEKENINGNUMMER(12),AA270915,TR
54,628009fc-8295-4fee-a3eb-7fd15ef7a5eb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(13).jpg,GEEN TEKENINGNUMMER(13),AA270915,TR
55,2ad231d5-c26d-41a8-97ab-ab222a29c97b,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270915/GEEN%20TEKENINGNUMMER(14).jpg,GEEN TEKENINGNUMMER(14),AA270915,TR
